generic_name,atc_level_4_code,atc_level_4_name
"Piperacillin-Tazo-Dextrose,iso",J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
Pnv 11/Iron Fum/Folic Acid/Om3,A11AA,Multivitamins with minerals
Pnv 112/Iron/Folic/Om3/Dha/Epa,A11AA,Multivitamins with minerals
Pnv 119/Iron Fum/Folic Acid,A11AA,Multivitamins with minerals
Pnv 67/Iron Ps/Folate No.1/Dha,A11AA,Multivitamins with minerals
Pnv Cmb 52/Iron/Fa/Omega-3/Dha,A11AA,Multivitamins with minerals
Pnv No.118/Iron Fumarate/Fa,A11AA,Multivitamins with minerals
Pnv No.163/Iron/Folate No.10,A11AA,Multivitamins with minerals
"Pnv,calcium 72/Iron,carb/Folic",A11AA,Multivitamins with minerals
"Pnv,calcium 72/Iron/Folic Acid",A11AA,Multivitamins with minerals
"Poliomyelitis Vaccine, Killed",J07BF,Poliomyelitis vaccines
Potassium Bicarbonate/Cit Ac,B05XA,Electrolyte solutions
Potassium Chloride In 0.9%nacl,B05XA,Electrolyte solutions
Potassium Chloride In Lr-D5,B05XA,Electrolyte solutions
Potassium Chloride In Water,B05XA,Electrolyte solutions
Potassium Chloride-0.45% Nacl,B05XA,Electrolyte solutions
Potassium Chloride/D5-0.45nacl,B05XA,Electrolyte solutions
Potassium Chloride/D5-0.9%nacl,B05XA,Electrolyte solutions
"Potassium Phos,m-Basic-D-Basic",B05XA,Electrolyte solutions
Prenatal 118/Iron/Folate 6/Dha,A11AA,Multivitamins with minerals
Prenatal 147/Iron/Folic Acid,A11AA,Multivitamins with minerals
Prenatal 25/Iron/Folate 6/Dha,A11AA,Multivitamins with minerals
Prenatal 48/Iron/Folic Acid/B6,A11AA,Multivitamins with minerals
Prenatal 93/Iron/Folate 9/Dha,A11AA,Multivitamins with minerals
Prenatal No.52/Iron/Fa/Dha,A11AA,Multivitamins with minerals
Prenatal Vit 10/Iron/Folic/Dha,A11AA,Multivitamins with minerals
Prenatal Vit 85/Iron/Fa 1/Dha,A11AA,Multivitamins with minerals
Prenatal Vit 87/Iron/Folic/Dha,A11AA,Multivitamins with minerals
Prenatal Vit No.170/Iron/Folic,A11AA,Multivitamins with minerals
"Prenatal Vit,calc76/Iron/Folic",A11AA,Multivitamins with minerals
"Prenatal Vit,calc78/Iron/Folic",A11AA,Multivitamins with minerals
Prenatal Vit103/Iron Fum/Folic,A11AA,Multivitamins with minerals
"Prenatal Vit27,calcium/Iron/Fa",A11AA,Multivitamins with minerals
"Prenatal,calc.40/Iron/Folate 1",A11AA,Multivitamins with minerals
"Rsv Vacc, Pref A And Pref B/Pf",J07BX,Other viral vaccines
Rsvpref3 Antigen/As01e/Pf,J07BX,Other viral vaccines
"Sodium,calcium,mag,pot Oxybate",N07XX,Other nervous system drugs
"Tetanus, Diphtheria Tox,adult",J07AM,Tetanus vaccines
"Tetanus,diphtheria Toxd Ped/Pf",J07AM,Tetanus vaccines
Tetanus-Diphtheria Toxoids/Pf,J07AM,Tetanus vaccines
Tiotropium Br/Olodaterol Hcl,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
Umeclidinium Brm/Vilanterol Tr,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
Varicella Vaccine Live/Pf,J07BK,Varicella zoster vaccines
Varicella-Zoster Ge/As01b/Pf,J07BK,Varicella zoster vaccines
Vit B Comp No.3/Folic/C/Biotin,A11AA,Multivitamins with minerals
Zoledronic Ac/Mannitol/0.9nacl,M05BA,Bisphosphonates
Zoledronic Acid/Mannitol-Water,M05BA,Bisphosphonates
Zoster Vaccine Live/Pf,J07BK,Varicella zoster vaccines
